road	R282
km	1.946
type	Baily with Steel Deck
lrpName	LRP002c
name	JURI-COLLEGE ROAD BRIDGE
length	22.3
condition	C
structureNr	102764
est cost	4
roadName	Juri-Lathidila Road
chainage	1.946
width	3.6
constructionYear	1993
spans	1
zone	Sylhet
circle	Moulavi Bazar
division	Moulavi Bazar
sub-division	Kulaura
lat	24.589333333333332
lon	92.12838888888888
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=102764&vRoadID=103&vSurveyYear=2004&vSubdivID=553
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=102764&vRoadID=103&vSurveyYear=2004&vSubdivID=553
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=102764&vRoadID=103&vSurveyYear=2004&vSubdivID=553
