road	R282
km	8.734
type	Baily with Steel Deck
lrpName	LRP008b
name	Shilwa Bridge
length	6.05
condition	C
structureNr	121689
est cost	0.042
roadName	Juri-Lathidila Road
chainage	8.734
width	
constructionYear	
spans	
zone	Sylhet
circle	Moulavi Bazar
division	Moulavi Bazar
sub-division	Kulaura
lat	24.5530556 
lon	92.1729993 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=121689&vRoadID=103&vSurveyYear=2013&vSubdivID=553
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=121689&vRoadID=103&vSurveyYear=2013&vSubdivID=553
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=121689&vRoadID=103&vSurveyYear=2013&vSubdivID=553
