road	R282
km	11.474
type	Arch Masonry
lrpName	LRP011d
name	KUCHAI(1)
length	2.8
condition	A
structureNr	102826
est cost	0
roadName	Juri-Lathidila Road
chainage	11.474
width	3.8
constructionYear	1993
spans	1
zone	Sylhet
circle	Moulavi Bazar
division	Moulavi Bazar
sub-division	Kulaura
lat	24.538777777777778
lon	92.18694444444445
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=102826&vRoadID=103&vSurveyYear=2004&vSubdivID=553
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=102826&vRoadID=103&vSurveyYear=2004&vSubdivID=553
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=102826&vRoadID=103&vSurveyYear=2004&vSubdivID=553
