road	R164
km	0.503
type	RCC Girder Bridge
lrpName	LRPSc
name	Ougga RCC Bridge
length	27.68
condition	C
structureNr	121752
est cost	0.272
roadName	Baraichhari-Kaptai Road
chainage	0.503
width	
constructionYear	
spans	
zone	Chittagong
circle	Chittagong
division	Chittagong
sub-division	Chittagong
lat	22.5057778 
lon	92.1411941 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=121752&vRoadID=85&vSurveyYear=2013&vSubdivID=269
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=121752&vRoadID=85&vSurveyYear=2013&vSubdivID=269
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=121752&vRoadID=85&vSurveyYear=2013&vSubdivID=269
