road	R164
km	6.032
type	Truss with Steel Deck
lrpName	LRP006c
name	Balur char Bridge
length	46
condition	B
structureNr	121227
est cost	0.018
roadName	Baraichhari-Kaptai Road
chainage	6.032
width	
constructionYear	
spans	
zone	Chittagong
circle	Chittagong
division	Chittagong
sub-division	Chittagong
lat	22.49525244471154
lon	92.18572284326923
estimated Location	road_interpolate
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=121227&vRoadID=85&vSurveyYear=2013&vSubdivID=269
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=121227&vRoadID=85&vSurveyYear=2013&vSubdivID=269
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=121227&vRoadID=85&vSurveyYear=2013&vSubdivID=269
