road	R164
km	7.913
type	Arch Masonry
lrpName	LRP008e
name	BANG CHORI ARCH MASONRY
length	6.1
condition	B
structureNr	106857
est cost	1.87
roadName	Baraichhari-Kaptai Road
chainage	7.913
width	9.6
constructionYear	1968
spans	1
zone	Chittagong
circle	Chittagong
division	Chittagong
sub-division	Chittagong
lat	22.5015
lon	92.20016666666668
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=106857&vRoadID=85&vSurveyYear=2004&vSubdivID=269
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=106857&vRoadID=85&vSurveyYear=2004&vSubdivID=269
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=106857&vRoadID=85&vSurveyYear=2004&vSubdivID=269
