road	Z7465
km	5.978
type	RCC Girder Bridge
lrpName	LRP005f
name	
length	7.6
condition	D
structureNr	119670
est cost	100
roadName	Sadarpur Bazar-Halsha Rail Bazar Road
chainage	5.978
width	
constructionYear	
spans	
zone	Khulna
circle	Jessore
division	Kushtia
sub-division	Kushtia
lat	23.85834883411765
lon	88.90684767908498
estimated Location	road_interpolate
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=119670&vRoadID=756&vSurveyYear=2013&vSubdivID=327
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=119670&vRoadID=756&vSurveyYear=2013&vSubdivID=327
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=119670&vRoadID=756&vSurveyYear=2013&vSubdivID=327
