road	Z7709
km	0.99
type	Box Culvert
lrpName	LRPSe
name	.
length	5.2
condition	A
structureNr	116754
est cost	0
roadName	Priojpur Kheya Ghat-Hularhat Road
chainage	0.99
width	4.1
constructionYear	1992
spans	1
zone	Barisal
circle	Barisal
division	Pirojpur
sub-division	Pirojpur
lat	22.59611111111111
lon	89.9725
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=116754&vRoadID=791&vSurveyYear=2006&vSubdivID=338
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=116754&vRoadID=791&vSurveyYear=2006&vSubdivID=338
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=116754&vRoadID=791&vSurveyYear=2006&vSubdivID=338
