road	R220
km	0.092
type	RCC Girder Bridge
lrpName	LRPSa
name	Kutta para Bridge
length	48.75
condition	B
structureNr	119822
est cost	1.88
roadName	Sarail-Nasirnagar-Lakhai-Habiganj Road
chainage	0.092
width	
constructionYear	
spans	
zone	Comilla
circle	Comilla
division	Brahmanbaria
sub-division	Brahmanbaria
lat	24.0583611 
lon	91.1161944 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=119822&vRoadID=96&vSurveyYear=2013&vSubdivID=540
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=119822&vRoadID=96&vSurveyYear=2013&vSubdivID=540
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=119822&vRoadID=96&vSurveyYear=2013&vSubdivID=540
