road	Z2003
km	0.762
type	Box Culvert
lrpName	LRPSc
name	Choumohna Box Culvert
length	1
condition	A
structureNr	114499
est cost	0
roadName	Kulaura-Shamshernagar-Srimangal Road
chainage	0.762
width	9.5
constructionYear	1993
spans	1
zone	Sylhet
circle	Moulavi Bazar
division	Moulavi Bazar
sub-division	Kulaura
lat	24.307444444444446
lon	91.73786111111112
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=114499&vRoadID=438&vSurveyYear=2004&vSubdivID=553
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=114499&vRoadID=438&vSurveyYear=2004&vSubdivID=553
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=114499&vRoadID=438&vSurveyYear=2004&vSubdivID=553
