road	Z2003
km	28.799
type	Box Culvert
lrpName	LRP028h
name	Box Culvert
length	1.5
condition	A
structureNr	114781
est cost	0
roadName	Kulaura-Shamshernagar-Srimangal Road
chainage	28.799
width	8
constructionYear	1998
spans	1
zone	Sylhet
circle	Moulavi Bazar
division	Moulavi Bazar
sub-division	Sreemongal
lat	24.431444444444445
lon	91.92588888888889
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=114781&vRoadID=438&vSurveyYear=2004&vSubdivID=555
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=114781&vRoadID=438&vSurveyYear=2004&vSubdivID=555
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=114781&vRoadID=438&vSurveyYear=2004&vSubdivID=555
