road	R142
km	11.186
type	Box Culvert
lrpName	LRP010e
name	SHIMULIA CULVERT
length	3.1
condition	C
structureNr	104496
est cost	1.12
roadName	Begamganj-Sonaimuri-Ramganj Road
chainage	11.186
width	9.7
constructionYear	1983
spans	1
zone	Comilla
circle	Noakhali
division	Noakhali
sub-division	Chatkhil
lat	23.043333333333337
lon	91.09552777777778
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=104496&vRoadID=75&vSurveyYear=2004&vSubdivID=549
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=104496&vRoadID=75&vSurveyYear=2004&vSubdivID=549
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=104496&vRoadID=75&vSurveyYear=2004&vSubdivID=549
