road	Z3032
km	0.932
type	Slab Culvert
lrpName	LRPSg
name	BAGARPUR
length	6
condition	A
structureNr	105815
est cost	0
roadName	Fulbaria-Ashim-Sangkivanga-Bagar Bazar Road
chainage	0.932
width	5.5
constructionYear	1990
spans	1
zone	Mymensingh
circle	Mymensingh
division	Mymensingh
sub-division	Bhaluka
lat	24.479805555555554
lon	90.37919444444444
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=105815&vRoadID=244&vSurveyYear=2004&vSubdivID=529
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=105815&vRoadID=244&vSurveyYear=2004&vSubdivID=529
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=105815&vRoadID=244&vSurveyYear=2004&vSubdivID=529
