road	Z1006
km	9.765
type	Box Culvert
lrpName	LRPSd
name	.
length	2
condition	A
structureNr	117982
est cost	0
roadName	Chimbuk-Tonkabati-Lama Road
chainage	9.765
width	7.3
constructionYear	2005
spans	1
zone	Chittagong
circle	Rangamati
division	Bandarban
sub-division	Bandarban-2
lat	22.00272222222222
lon	92.23616666666666
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=117982&vRoadID=356&vSurveyYear=2006&vSubdivID=286
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=117982&vRoadID=356&vSurveyYear=2006&vSubdivID=286
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=117982&vRoadID=356&vSurveyYear=2006&vSubdivID=286
