road	R282
km	10.996
type	Box Culvert
lrpName	LRP010d
name	KUCHAI BOX CULVERT
length	1
condition	A
structureNr	102821
est cost	0
roadName	Juri-Lathidila Road
chainage	10.996
width	8.5
constructionYear	1993
spans	1
zone	Sylhet
circle	Moulavi Bazar
division	Moulavi Bazar
sub-division	Kulaura
lat	24.5425
lon	92.1853888888889
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=102821&vRoadID=103&vSurveyYear=2004&vSubdivID=553
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=102821&vRoadID=103&vSurveyYear=2004&vSubdivID=553
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=102821&vRoadID=103&vSurveyYear=2004&vSubdivID=553
