road	R282
km	2.936
type	PC Girder Bridge
lrpName	LRP003b
name	Juri Bridge-1
length	36.25
condition	A
structureNr	121680
est cost	0
roadName	Juri-Lathidila Road
chainage	2.936
width	
constructionYear	
spans	
zone	Sylhet
circle	Moulavi Bazar
division	Moulavi Bazar
sub-division	Kulaura
lat	24.5839997 
lon	92.1347774 
estimated Location	road_chainage
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=121680&vRoadID=103&vSurveyYear=2013&vSubdivID=553
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=121680&vRoadID=103&vSurveyYear=2013&vSubdivID=553
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=121680&vRoadID=103&vSurveyYear=2013&vSubdivID=553
