road	R282
km	8.734
type	Baily with Steel Deck
lrpName	LRP008b
name	SILLOH STEEL BRIDGE
length	6
condition	C
structureNr	102812
est cost	1.11
roadName	Juri-Lathidila Road
chainage	8.734
width	3.55
constructionYear	1993
spans	1
zone	Sylhet
circle	Moulavi Bazar
division	Moulavi Bazar
sub-division	Kulaura
lat	24.55302777777778
lon	92.17297222222223
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=102812&vRoadID=103&vSurveyYear=2004&vSubdivID=553
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=102812&vRoadID=103&vSurveyYear=2004&vSubdivID=553
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=102812&vRoadID=103&vSurveyYear=2004&vSubdivID=553
