road	R282
km	0.046
type	Baily with Steel Deck
lrpName	LRPSa
name	Juri Bridge
length	9.35
condition	A
structureNr	121672
est cost	0
roadName	Juri-Lathidila Road
chainage	0.046
width	
constructionYear	
spans	
zone	Sylhet
circle	Moulavi Bazar
division	Moulavi Bazar
sub-division	Kulaura
lat	24.597083 
lon	92.11425 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=121672&vRoadID=103&vSurveyYear=2013&vSubdivID=553
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=121672&vRoadID=103&vSurveyYear=2013&vSubdivID=553
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=121672&vRoadID=103&vSurveyYear=2013&vSubdivID=553
