road	Z8054
km	0.284
type	Slab Culvert
lrpName	LRPSa
name	.
length	2.5
condition	A
structureNr	113358
est cost	0
roadName	Nalchity-Ponabalia-Jhalokati Road
chainage	0.284
width	4.9
constructionYear	1998
spans	1
zone	Barisal
circle	Barisal
division	Jhalokati
sub-division	Jhalokati
lat	22.63375
lon	90.26480555555555
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=113358&vRoadID=779&vSurveyYear=2004&vSubdivID=584
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=113358&vRoadID=779&vSurveyYear=2004&vSubdivID=584
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=113358&vRoadID=779&vSurveyYear=2004&vSubdivID=584
