road	N707
km	2.648
type	Slab Culvert
lrpName	LRP003e
name	.
length	2.5
condition	A
structureNr	108010
est cost	0
roadName	Jessore Town Old Section (Palbari-Daratana-Monihar-Murali)
chainage	2.648
width	16
constructionYear	1988
spans	1
zone	Khulna
circle	Jessore
division	Jessore
sub-division	Jessore-2
lat	23.165277777777778
lon	89.21305555555556
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=108010&vRoadID=56&vSurveyYear=2004&vSubdivID=324
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=108010&vRoadID=56&vSurveyYear=2004&vSubdivID=324
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=108010&vRoadID=56&vSurveyYear=2004&vSubdivID=324
