road	R550
km	0.823
type	Slab Culvert
lrpName	LRPSb
name	.
length	4.3
condition	C
structureNr	103041
est cost	0.7
roadName	Mokamtala-Kalai-Joypurhat Road
chainage	0.823
width	12.8
constructionYear	1988
spans	1
zone	Rangpur
circle	Bogra
division	Bogra
sub-division	Bogra
lat	25.019444444444442
lon	89.36138888888888
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=103041&vRoadID=129&vSurveyYear=2004&vSubdivID=291
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=103041&vRoadID=129&vSurveyYear=2004&vSubdivID=291
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=103041&vRoadID=129&vSurveyYear=2004&vSubdivID=291
