road	Z5903
km	9.65
type	Slab Culvert
lrpName	LRP009c
name	.
length	8.65
condition	B
structureNr	110234
est cost	0.06
roadName	Patgram-Dohagram-Angarpota Sit Mohal Road
chainage	9.65
width	4.95
constructionYear	1987
spans	4
zone	Rangpur
circle	Rangpur
division	Lalmonirhat
sub-division	Lalmonirhat
lat	26.295
lon	88.98111111111112
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=110234&vRoadID=630&vSurveyYear=2004&vSubdivID=290
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=110234&vRoadID=630&vSurveyYear=2004&vSubdivID=290
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=110234&vRoadID=630&vSurveyYear=2004&vSubdivID=290
