road	Z2036
km	9.72
type	Slab Culvert
lrpName	LRP009g
name	Slab Culvert
length	3
condition	A
structureNr	114674
est cost	0
roadName	Shibpur-Bannerbazar-Palas (Taltali) Road
chainage	9.72
width	5.6
constructionYear	2001
spans	1
zone	Dhaka
circle	Dhaka
division	Narsingdi
sub-division	Shibpur
lat	23.993055555555557
lon	90.69411111111111
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=114674&vRoadID=215&vSurveyYear=2004&vSubdivID=523
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=114674&vRoadID=215&vSurveyYear=2004&vSubdivID=523
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=114674&vRoadID=215&vSurveyYear=2004&vSubdivID=523
