road	Z1035
km	18.407
type	RCC Girder Bridge
lrpName	LRP018c
name	SATKOCHIA
length	10
condition	C
structureNr	102712
est cost	0.33
roadName	Chhagalnaiya-Parsuram Road (Captain Lik Road)
chainage	18.407
width	4.6
constructionYear	1975
spans	2
zone	Comilla
circle	Noakhali
division	Feni
sub-division	Feni-2
lat	23.184583333333332
lon	91.40141666666668
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=102712&vRoadID=524&vSurveyYear=2004&vSubdivID=546
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=102712&vRoadID=524&vSurveyYear=2004&vSubdivID=546
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=102712&vRoadID=524&vSurveyYear=2004&vSubdivID=546
