road	R681
km	0.294
type	Box Culvert
lrpName	LRPSa
name	.
length	1.2
condition	C
structureNr	100320
est cost	2.2
roadName	Ujanpara-Bijoynagar Road (Old Part)
chainage	0.294
width	10.7
constructionYear	1978
spans	1
zone	Rajshahi
circle	Rajshahi
division	Rajshahi
sub-division	Rajshahi-2
lat	24.39638888888889
lon	88.44277777777778
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=100320&vRoadID=143&vSurveyYear=2004&vSubdivID=304
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=100320&vRoadID=143&vSurveyYear=2004&vSubdivID=304
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=100320&vRoadID=143&vSurveyYear=2004&vSubdivID=304
