road	Z6806
km	3.321
type	Slab Culvert
lrpName	LRP002g
name	.
length	1.5
condition	C
structureNr	107536
est cost	1.2
roadName	Nawabganj-Uttermallick-Gomastapur Road
chainage	3.321
width	8.7
constructionYear	1980
spans	1
zone	Rajshahi
circle	Rajshahi
division	Nawabganj
sub-division	Nawabganj
lat	24.616666666666667
lon	88.29583333333333
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=107536&vRoadID=552&vSurveyYear=2004&vSubdivID=307
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=107536&vRoadID=552&vSurveyYear=2004&vSubdivID=307
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=107536&vRoadID=552&vSurveyYear=2004&vSubdivID=307
