road	N711
km	0.274
type	Box Culvert
lrpName	LRPSc
name	.
length	1.7
condition	A
structureNr	110381
est cost	0
roadName	Benapole Town Old Section
chainage	0.274
width	11
constructionYear	2000
spans	1
zone	Khulna
circle	Jessore
division	Jessore
sub-division	Jessore-1
lat	23.04138888888889
lon	88.89722222222223
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=110381&vRoadID=60&vSurveyYear=2004&vSubdivID=323
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=110381&vRoadID=60&vSurveyYear=2004&vSubdivID=323
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=110381&vRoadID=60&vSurveyYear=2004&vSubdivID=323
