road	R750
km	0.708
type	RCC Girder Bridge
lrpName	LRPSb
name	Nilgonj Bridge
length	18.5
condition	A
structureNr	103222
est cost	0
roadName	Jessore-Narail Road
chainage	0.708
width	11.9
constructionYear	1995
spans	1
zone	Khulna
circle	Jessore
division	Jessore
sub-division	Jessore-2
lat	23.15972222222222
lon	89.22944444444444
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=103222&vRoadID=156&vSurveyYear=2004&vSubdivID=324
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=103222&vRoadID=156&vSurveyYear=2004&vSubdivID=324
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=103222&vRoadID=156&vSurveyYear=2004&vSubdivID=324
