road	R750
km	11.78
type	Slab Culvert
lrpName	LRP012a
name	.
length	4.2
condition	C
structureNr	104039
est cost	0
roadName	Jessore-Narail Road
chainage	11.78
width	7.14
constructionYear	1985
spans	1
zone	Khulna
circle	Jessore
division	Jessore
sub-division	Jessore-2
lat	23.185777777777776
lon	89.32747222222221
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=104039&vRoadID=156&vSurveyYear=2004&vSubdivID=324
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=104039&vRoadID=156&vSurveyYear=2004&vSubdivID=324
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=104039&vRoadID=156&vSurveyYear=2004&vSubdivID=324
