road	R750
km	0.708
type	RCC Girder Bridge
lrpName	LRPSb
name	Nilganj Bridge
length	18.5
condition	C
structureNr	118834
est cost	0.226
roadName	Jessore-Narail Road
chainage	0.708
width	
constructionYear	
spans	
zone	Khulna
circle	Jessore
division	Jessore
sub-division	Jessore-2
lat	
lon	
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=118834&vRoadID=156&vSurveyYear=2013&vSubdivID=324
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=118834&vRoadID=156&vSurveyYear=2013&vSubdivID=324
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=118834&vRoadID=156&vSurveyYear=2013&vSubdivID=324
