road	N107
km	0.052
type	Baily with Steel Deck
lrpName	LRPSa
name	KALURGHAT BRIDGE
length	23.8
condition	A
structureNr	111581
est cost	0
roadName	Kalurghat-Maneswartek Road
chainage	0.052
width	3.4
constructionYear	2004
spans	1
zone	Chittagong
circle	Chittagong
division	Dohazari
sub-division	Patiya
lat	22.394166666666667
lon	91.8913888888889
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=111581&vRoadID=7&vSurveyYear=2004&vSubdivID=281
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=111581&vRoadID=7&vSurveyYear=2004&vSubdivID=281
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=111581&vRoadID=7&vSurveyYear=2004&vSubdivID=281
