road	N107
km	0.382
type	PC Girder Bridge
lrpName	LRPSc
name	Kalurghat Bridge-2
length	24
condition	B
structureNr	121138
est cost	1.099
roadName	Kalurghat-Maneswartek Road
chainage	0.382
width	
constructionYear	
spans	
zone	Chittagong
circle	Chittagong
division	Dohazari
sub-division	Patiya
lat	22.391645438905776
lon	91.89338435623101
estimated Location	road_interpolate
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=121138&vRoadID=7&vSurveyYear=2013&vSubdivID=281
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=121138&vRoadID=7&vSurveyYear=2013&vSubdivID=281
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=121138&vRoadID=7&vSurveyYear=2013&vSubdivID=281
