road	N107
km	1.917
type	Baily with Steel Deck
lrpName	LRP001a
name	AFOLAHMED BRIDGE
length	9.1
condition	A
structureNr	111583
est cost	0
roadName	Kalurghat-Maneswartek Road
chainage	1.917
width	3.3
constructionYear	1990
spans	1
zone	Chittagong
circle	Chittagong
division	Dohazari
sub-division	Patiya
lat	22.399361111111112
lon	91.90302777777778
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=111583&vRoadID=7&vSurveyYear=2004&vSubdivID=281
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=111583&vRoadID=7&vSurveyYear=2004&vSubdivID=281
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=111583&vRoadID=7&vSurveyYear=2004&vSubdivID=281
