road	Z4609
km	0.148
type	RCC Girder Bridge
lrpName	LRPSa
name	NOKLA BAZAR BRIDGE
length	44.8
condition	B
structureNr	105935
est cost	0.879
roadName	Nakla-Shibbari Road
chainage	0.148
width	4.2
constructionYear	1991
spans	3
zone	Mymensingh
circle	Jamalpur
division	Sherpur
sub-division	Sherpur-1
lat	24.97319444444444
lon	90.17875000000001
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=105935&vRoadID=261&vSurveyYear=2004&vSubdivID=534
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=105935&vRoadID=261&vSurveyYear=2004&vSubdivID=534
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=105935&vRoadID=261&vSurveyYear=2004&vSubdivID=534
