road	Z4606
km	50.53
type	PC Girder Bridge
lrpName	LRP050a
name	Zinziram Bridge
length	293.8
condition	A
structureNr	121247
est cost	0
roadName	Jamalpur (Nandibazar)-Dhanua-Kamalpur-Raumari-Datbhanga Road
chainage	50.53
width	
constructionYear	
spans	
zone	Mymensingh
circle	Jamalpur
division	Jamalpur
sub-division	Jamalpur-2
lat	25.3564167 
lon	89.8098333 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=121247&vRoadID=282&vSurveyYear=2013&vSubdivID=525
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=121247&vRoadID=282&vSurveyYear=2013&vSubdivID=525
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=121247&vRoadID=282&vSurveyYear=2013&vSubdivID=525
