road	R548
km	7.47
type	Slab Culvert
lrpName	LRP008b
name	.
length	3.15
condition	C
structureNr	100746
est cost	1.5
roadName	Naogaon-Atrai-Natore Road
chainage	7.47
width	4.8
constructionYear	1979
spans	1
zone	Rajshahi
circle	Rajshahi
division	Naogaon
sub-division	Naogaon
lat	24.74138888888889
lon	88.96083333333334
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=100746&vRoadID=127&vSurveyYear=2004&vSubdivID=305
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=100746&vRoadID=127&vSurveyYear=2004&vSubdivID=305
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=100746&vRoadID=127&vSurveyYear=2004&vSubdivID=305
