road	N6
km	0.158
type	PC Girder Bridge
lrpName	LRPSa
name	Kashinathpur Bridge
length	70.1
condition	C
structureNr	119412
est cost	0.338
roadName	Kashinathpur-Dasuria-Natore-Rajshahi Road
chainage	0.158
width	
constructionYear	
spans	
zone	Rajshahi
circle	Pabna
division	Pabna
sub-division	Pabna-1
lat	23.9585833 
lon	89.6056111 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=119412&vRoadID=46&vSurveyYear=2013&vSubdivID=309
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=119412&vRoadID=46&vSurveyYear=2013&vSubdivID=309
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=119412&vRoadID=46&vSurveyYear=2013&vSubdivID=309
