index,id,drive_time,replication,scenario
11388,Truck11731,247,1,4
11389,Truck11734,239,1,4
11390,Truck11732,251,1,4
11391,Truck11737,248,1,4
11392,Truck11739,238,1,4
11393,Truck11736,257,1,4
11394,Truck11742,233,1,4
11395,Truck11740,246,1,4
11396,Truck11735,274,1,4
11397,Truck11738,264,1,4
11398,Truck11741,253,1,4
11399,Truck11747,234,1,4
11400,Truck11745,247,1,4
11401,Truck11746,242,1,4
11402,Truck11749,238,1,4
11403,Truck11744,266,1,4
11404,Truck11743,272,1,4
11405,Truck11752,231,1,4
11406,Truck11751,244,1,4
11407,Truck11750,250,1,4
11408,Truck11748,266,1,4
11409,Truck11754,250,1,4
11410,Truck11753,265,1,4
11411,Truck11758,243,1,4
11412,Truck11755,263,1,4
11413,Truck11762,232,1,4
11414,Truck11757,258,1,4
11415,Truck11759,248,1,4
11416,Truck11756,275,1,4
11417,Truck11760,256,1,4
11418,Truck11764,237,1,4
11419,Truck11761,254,1,4
11420,Truck11763,246,1,4
11421,Truck11765,247,1,4
11422,Truck11767,240,1,4
11423,Truck11770,232,1,4
11424,Truck11766,265,1,4
11425,Truck11768,269,1,4
11426,Truck11769,266,1,4
11427,Truck11773,251,1,4
11428,Truck11771,263,1,4
11429,Truck11774,253,1,4
11430,Truck11772,270,1,4
11431,Truck11779,235,1,4
11432,Truck11776,257,1,4
11433,Truck11777,252,1,4
11434,Truck11775,265,1,4
11435,Truck11781,247,1,4
11436,Truck11782,244,1,4
11437,Truck11780,255,1,4
11438,Truck11786,231,1,4
11439,Truck11778,272,1,4
11440,Truck11785,238,1,4
11441,Truck11787,241,1,4
11442,Truck11788,236,1,4
11443,Truck11789,237,1,4
11444,Truck11784,263,1,4
11445,Truck11783,271,1,4
11446,Truck11794,232,1,4
11447,Truck11790,257,1,4
11448,Truck11793,242,1,4
11449,Truck11792,248,1,4
11450,Truck11791,270,1,4
11451,Truck11797,242,1,4
11452,Truck11795,255,1,4
11453,Truck11796,258,1,4
11454,Truck11799,245,1,4
11455,Truck11798,262,1,4
11456,Truck11800,256,1,4
11457,Truck11801,252,1,4
11458,Truck11804,244,1,4
11459,Truck11802,259,1,4
11460,Truck11803,254,1,4
11461,Truck11806,244,1,4
11462,Truck11810,232,1,4
11463,Truck11805,263,1,4
11464,Truck11813,232,1,4
11465,Truck11807,266,1,4
11466,Truck11814,240,1,4
11467,Truck11812,254,1,4
11468,Truck11808,275,1,4
11469,Truck11809,270,1,4
11470,Truck11817,237,1,4
11471,Truck11811,268,1,4
11472,Truck11816,245,1,4
11473,Truck11818,238,1,4
11474,Truck11819,245,1,4
11475,Truck11815,275,1,4
11476,Truck11821,247,1,4
11477,Truck11820,264,1,4
11478,Truck11826,237,1,4
11479,Truck11823,267,1,4
11480,Truck11822,275,1,4
11481,Truck11825,265,1,4
11482,Truck11824,273,1,4
11483,Truck11830,254,1,4
11484,Truck11831,249,1,4
11485,Truck11829,263,1,4
11486,Truck11827,275,1,4
11487,Truck11828,272,1,4
11488,Truck11834,245,1,4
11489,Truck11835,241,1,4
11490,Truck11832,260,1,4
11491,Truck11836,241,1,4
11492,Truck11833,268,1,4
11493,Truck11837,255,1,4
11494,Truck11841,237,1,4
11495,Truck11838,262,1,4
11496,Truck11839,259,1,4
11497,Truck11840,263,1,4
11498,Truck11846,237,1,4
11499,Truck11844,251,1,4
11500,Truck11842,266,1,4
11501,Truck11843,274,1,4
11502,Truck11847,254,1,4
11503,Truck11845,269,1,4
11504,Truck11849,259,1,4
11505,Truck11851,252,1,4
11506,Truck11848,270,1,4
11507,Truck11850,267,1,4
11508,Truck11852,260,1,4
11509,Truck11854,251,1,4
11510,Truck11857,236,1,4
11511,Truck11856,246,1,4
11512,Truck11859,238,1,4
11513,Truck11853,273,1,4
11514,Truck11855,265,1,4
11515,Truck11861,236,1,4
11516,Truck11858,253,1,4
11517,Truck11864,241,1,4
11518,Truck11866,231,1,4
11519,Truck11860,262,1,4
11520,Truck11862,265,1,4
11521,Truck11865,252,1,4
11522,Truck11869,241,1,4
11523,Truck11863,275,1,4
11524,Truck11870,240,1,4
11525,Truck11868,257,1,4
11526,Truck11867,264,1,4
11527,Truck11873,237,1,4
11528,Truck11875,235,1,4
11529,Truck11871,257,1,4
11530,Truck11874,242,1,4
11531,Truck11876,234,1,4
11532,Truck11877,231,1,4
11533,Truck11872,270,1,4
11534,Truck11880,243,1,4
11535,Truck11882,237,1,4
11536,Truck11878,267,1,4
11537,Truck11886,232,1,4
11538,Truck11883,249,1,4
11539,Truck11879,273,1,4
11540,Truck11881,274,1,4
11541,Truck11885,255,1,4
11542,Truck11889,240,1,4
11543,Truck11884,274,1,4
11544,Truck11892,234,1,4
11545,Truck11888,259,1,4
11546,Truck11887,265,1,4
11547,Truck11893,239,1,4
11548,Truck11890,263,1,4
11549,Truck11895,245,1,4
11550,Truck11891,266,1,4
11551,Truck11899,237,1,4
11552,Truck11901,232,1,4
11553,Truck11894,274,1,4
11554,Truck11900,253,1,4
11555,Truck11896,274,1,4
11556,Truck11897,274,1,4
11557,Truck11902,249,1,4
11558,Truck11898,270,1,4
11559,Truck11903,252,1,4
11560,Truck11905,244,1,4
11561,Truck11909,231,1,4
11562,Truck11907,246,1,4
11563,Truck11906,253,1,4
11564,Truck11910,233,1,4
11565,Truck11904,268,1,4
11566,Truck11908,275,1,4
11567,Truck11911,260,1,4
11568,Truck11913,253,1,4
11569,Truck11912,266,1,4
11570,Truck11914,257,1,4
11571,Truck11916,262,1,4
11572,Truck11917,259,1,4
11573,Truck11915,271,1,4
11574,Truck11920,247,1,4
11575,Truck11923,239,1,4
11576,Truck11924,234,1,4
11577,Truck11918,266,1,4
11578,Truck11919,267,1,4
11579,Truck11921,262,1,4
11580,Truck11926,240,1,4
11581,Truck11927,241,1,4
11582,Truck11925,257,1,4
11583,Truck11928,242,1,4
11584,Truck11922,275,1,4
11585,Truck11931,234,1,4
11586,Truck11932,232,1,4
11587,Truck11933,234,1,4
11588,Truck11929,268,1,4
11589,Truck11930,272,1,4
11590,Truck11935,258,1,4
11591,Truck11937,255,1,4
11592,Truck11938,251,1,4
11593,Truck11936,262,1,4
11594,Truck11934,275,1,4
11595,Truck11939,260,1,4
11596,Truck11941,250,1,4
11597,Truck11940,257,1,4
11598,Truck11943,249,1,4
11599,Truck11946,241,1,4
11600,Truck11942,271,1,4
11601,Truck11950,231,1,4
11602,Truck11945,265,1,4
11603,Truck11944,274,1,4
11604,Truck11952,235,1,4
11605,Truck11948,266,1,4
11606,Truck11947,274,1,4
11607,Truck11951,255,1,4
11608,Truck11949,269,1,4
11609,Truck11954,245,1,4
11610,Truck11956,242,1,4
11611,Truck11955,249,1,4
11612,Truck11953,263,1,4
11613,Truck11959,236,1,4
11614,Truck11957,249,1,4
11615,Truck11958,250,1,4
