road	R505
km	5.664
type	Slab Culvert
lrpName	LRP005a
name	SHEEPUR CULVERT
length	5
condition	B
structureNr	102266
est cost	0.02
roadName	Nabinagar-EPZ-Kaliakoir (Chandra) Road
chainage	5.664
width	12.5
constructionYear	2000
spans	1
zone	Dhaka
circle	Dhaka
division	Manikganj
sub-division	Nayarhat
lat	23.96097222222222
lon	90.27008333333333
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=102266&vRoadID=122&vSurveyYear=2004&vSubdivID=516
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=102266&vRoadID=122&vSurveyYear=2004&vSubdivID=516
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=102266&vRoadID=122&vSurveyYear=2004&vSubdivID=516
