road	R164
km	0.377
type	Box Culvert
lrpName	LRPSb
name	OUGGA BOX CULVERT
length	1.1
condition	C
structureNr	106765
est cost	69
roadName	Baraichhari-Kaptai Road
chainage	0.377
width	8
constructionYear	1976
spans	1
zone	Chittagong
circle	Chittagong
division	Chittagong
sub-division	Chittagong
lat	22.50475
lon	92.14125000000001
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=106765&vRoadID=85&vSurveyYear=2004&vSubdivID=269
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=106765&vRoadID=85&vSurveyYear=2004&vSubdivID=269
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=106765&vRoadID=85&vSurveyYear=2004&vSubdivID=269
