road	R164
km	0.503
type	RCC Girder Bridge
lrpName	LRPSc
name	OUGGA RCC GIDER BRIDGE
length	27.6
condition	C
structureNr	106770
est cost	3.15
roadName	Baraichhari-Kaptai Road
chainage	0.503
width	8.15
constructionYear	1982
spans	3
zone	Chittagong
circle	Chittagong
division	Chittagong
sub-division	Chittagong
lat	22.50477777777778
lon	92.14122222222223
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=106770&vRoadID=85&vSurveyYear=2004&vSubdivID=269
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=106770&vRoadID=85&vSurveyYear=2004&vSubdivID=269
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=106770&vRoadID=85&vSurveyYear=2004&vSubdivID=269
