road	R164
km	0.116
type	Box Culvert
lrpName	LRPSa
name	BARAICHARI BOX CULVERT
length	6
condition	A
structureNr	106763
est cost	0
roadName	Baraichhari-Kaptai Road
chainage	0.116
width	8.5
constructionYear	1976
spans	1
zone	Chittagong
circle	Chittagong
division	Chittagong
sub-division	Chittagong
lat	22.503194444444443
lon	92.64002777777779
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=106763&vRoadID=85&vSurveyYear=2004&vSubdivID=269
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=106763&vRoadID=85&vSurveyYear=2004&vSubdivID=269
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=106763&vRoadID=85&vSurveyYear=2004&vSubdivID=269
