road	Z2831
km	0.54
type	Baily with Steel Deck
lrpName	LRPSg
name	
length	8.85
condition	A
structureNr	120846
est cost	0.153
roadName	Vadeshwar-Mirganj-Fenchuganj Road
chainage	0.54
width	
constructionYear	
spans	
zone	Sylhet
circle	Sylhet
division	Sylhet
sub-division	Golapganj
lat	24.752 
lon	92.0188049 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=120846&vRoadID=370&vSurveyYear=2013&vSubdivID=562
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=120846&vRoadID=370&vSurveyYear=2013&vSubdivID=562
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=120846&vRoadID=370&vSurveyYear=2013&vSubdivID=562
