road	R281
km	60.462
type	RCC Girder Bridge
lrpName	LRP061f
name	Joldup Bridge
length	15.85
condition	D
structureNr	120754
est cost	6.373
roadName	Rajnagar-Kulaura-Juri-Baralekha-Bianibazar-Sheola-Charkhai Road
chainage	60.462
width	
constructionYear	
spans	
zone	Sylhet
circle	Sylhet
division	Sylhet
sub-division	Golapganj
lat	24.78467063076923
lon	92.17333907692307
estimated Location	road_interpolate
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=120754&vRoadID=102&vSurveyYear=2013&vSubdivID=562
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=120754&vRoadID=102&vSurveyYear=2013&vSubdivID=562
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=120754&vRoadID=102&vSurveyYear=2013&vSubdivID=562
