road	R281
km	60.462
type	RCC Girder Bridge
lrpName	LRP061f
name	JALDUB RCC GIRDER BRIDGE
length	16.7
condition	A
structureNr	100332
est cost	0
roadName	Rajnagar-Kulaura-Juri-Baralekha-Bianibazar-Sheola-Charkhai Road
chainage	60.462
width	4
constructionYear	1964
spans	3
zone	Sylhet
circle	Sylhet
division	Sylhet
sub-division	Golapganj
lat	24.787444444444446
lon	92.17241666666668
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=100332&vRoadID=102&vSurveyYear=2004&vSubdivID=562
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=100332&vRoadID=102&vSurveyYear=2004&vSubdivID=562
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=100332&vRoadID=102&vSurveyYear=2004&vSubdivID=562
