road	Z8034
km	16.506
type	Baily with Steel Deck
lrpName	LRP015d
name	Kajichor bridge
length	18.23
condition	C
structureNr	119186
est cost	0.244
roadName	Rahamatpur-Babuganj-Muladi-Hizla Road
chainage	16.506
width	
constructionYear	
spans	
zone	Barisal
circle	Barisal
division	Barisal
sub-division	Barisal-1
lat	22.8613333 
lon	90.379916 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=119186&vRoadID=766&vSurveyYear=2013&vSubdivID=331
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=119186&vRoadID=766&vSurveyYear=2013&vSubdivID=331
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=119186&vRoadID=766&vSurveyYear=2013&vSubdivID=331
