road	N4
km	22.464
type	Box Culvert
lrpName	LRP022d
name	NORTH HIJOLTOLI CULVERT (2)
length	4.5
condition	A
structureNr	106997
est cost	0
roadName	Joydebpur-Tangail-Jamalpur Road
chainage	22.464
width	12.4
constructionYear	2003
spans	1
zone	Dhaka
circle	Dhaka
division	Gazipur
sub-division	Tongi
lat	24.08386111111111
lon	90.20166666666667
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=106997&vRoadID=23&vSurveyYear=2004&vSubdivID=514
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=106997&vRoadID=23&vSurveyYear=2004&vSubdivID=514
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=106997&vRoadID=23&vSurveyYear=2004&vSubdivID=514
