road	N4
km	38.231
type	RCC Girder Bridge
lrpName	LRP038a
name	SUBOLLA (1)
length	32.2
condition	B
structureNr	106966
est cost	1.34
roadName	Joydebpur-Tangail-Jamalpur Road
chainage	38.231
width	19
constructionYear	1973
spans	3
zone	Mymensingh
circle	Jamalpur
division	Tangail
sub-division	Mirzapur
lat	24.121055555555557
lon	90.06088888888888
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=106966&vRoadID=23&vSurveyYear=2004&vSubdivID=536
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=106966&vRoadID=23&vSurveyYear=2004&vSubdivID=536
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=106966&vRoadID=23&vSurveyYear=2004&vSubdivID=536
