road	R861
km	0.702
type	Box Culvert
lrpName	LRPSa
name	.
length	4.9
condition	C
structureNr	107767
est cost	16
roadName	Monohar Bazar More at R860-Shariatpur Road
chainage	0.702
width	6.1
constructionYear	1978
spans	1
zone	Gopalganj
circle	Gopalganj
division	Sariatpur
sub-division	Sariatpur
lat	23.193055555555556
lon	90.33361111111111
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=107767&vRoadID=172&vSurveyYear=2004&vSubdivID=580
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=107767&vRoadID=172&vSurveyYear=2004&vSubdivID=580
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=107767&vRoadID=172&vSurveyYear=2004&vSubdivID=580
