road	N804
km	10.85
type	RCC Girder Bridge
lrpName	LRP010c
name	.
length	13.8
condition	C
structureNr	110121
est cost	1.11
roadName	Bhanga-Faridpur (Goalchamot) Road
chainage	10.85
width	3.95
constructionYear	1991
spans	1
zone	Gopalganj
circle	Faridpur
division	Faridpur
sub-division	Faridpur-2
lat	23.46611111111111
lon	89.92222222222223
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=110121&vRoadID=63&vSurveyYear=2004&vSubdivID=341
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=110121&vRoadID=63&vSurveyYear=2004&vSubdivID=341
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=110121&vRoadID=63&vSurveyYear=2004&vSubdivID=341
