road	Z1013
km	0.39
type	Baily with Steel Deck
lrpName	LRPSe
name	.
length	30.5
condition	A
structureNr	118144
est cost	0
roadName	Tonkabati-Baro Aulia Road
chainage	0.39
width	4.3
constructionYear	1998
spans	1
zone	Chittagong
circle	Rangamati
division	Bandarban
sub-division	Bandarban-2
lat	21.992555555555555
lon	92.20422222222223
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=118144&vRoadID=357&vSurveyYear=2006&vSubdivID=286
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=118144&vRoadID=357&vSurveyYear=2006&vSubdivID=286
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=118144&vRoadID=357&vSurveyYear=2006&vSubdivID=286
