road	R813
km	0.897
type	Baily with Steel Deck
lrpName	LRPSd
name	NAYAGOAN
length	18.3
condition	D
structureNr	108425
est cost	49.41
roadName	Muktarpur Ferry Ghat to Munshiganj Road
chainage	0.897
width	3.6
constructionYear	1997
spans	1
zone	Dhaka
circle	Dhaka
division	Munshiganj
sub-division	Munshiganj
lat	23.563555555555556
lon	90.52233333333334
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=108425&vRoadID=168&vSurveyYear=2004&vSubdivID=518
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=108425&vRoadID=168&vSurveyYear=2004&vSubdivID=518
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=108425&vRoadID=168&vSurveyYear=2004&vSubdivID=518
