road	Z2811
km	13.86
type	Slab Culvert
lrpName	LRP013i
name	.
length	1.8
condition	A
structureNr	117630
est cost	0
roadName	Dowarabazar-Sunamganj Road
chainage	13.86
width	8.6
constructionYear	1995
spans	1
zone	Sylhet
circle	Sylhet
division	Sunamganj
sub-division	Sunamganj
lat	25.075277777777778
lon	91.4363888888889
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=117630&vRoadID=419&vSurveyYear=2006&vSubdivID=557
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=117630&vRoadID=419&vSurveyYear=2006&vSubdivID=557
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=117630&vRoadID=419&vSurveyYear=2006&vSubdivID=557
