road	R251
km	0.641
type	RCC Girder Bridge
lrpName	LRPSa
name	tikorbari bridge
length	23.7
condition	B
structureNr	102752
est cost	0.36
roadName	Golapganj-Dhaka Dakhin-Baraigram-Vadeswar Road
chainage	0.641
width	3.9
constructionYear	1985
spans	3
zone	Sylhet
circle	Sylhet
division	Sylhet
sub-division	Golapganj
lat	24.854166666666668
lon	92.0183888888889
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=102752&vRoadID=100&vSurveyYear=2004&vSubdivID=562
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=102752&vRoadID=100&vSurveyYear=2004&vSubdivID=562
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=102752&vRoadID=100&vSurveyYear=2004&vSubdivID=562
