road	R251
km	6.84
type	RCC Girder Bridge
lrpName	LRP006f
name	Dhaka Dakhin Bridge
length	13.2
condition	C
structureNr	120730
est cost	0.521
roadName	Golapganj-Dhaka Dakhin-Baraigram-Vadeswar Road
chainage	6.84
width	
constructionYear	
spans	
zone	Sylhet
circle	Sylhet
division	Sylhet
sub-division	Golapganj
lat	24.8081389 
lon	92.0393886 
estimated Location	road_chainage
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=120730&vRoadID=100&vSurveyYear=2013&vSubdivID=562
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=120730&vRoadID=100&vSurveyYear=2013&vSubdivID=562
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=120730&vRoadID=100&vSurveyYear=2013&vSubdivID=562
