road	Z1402
km	14.17
type	RCC Girder Bridge
lrpName	LRP014a
name	TANARPAR DRIDGE
length	12.5
condition	C
structureNr	103861
est cost	0.93
roadName	Baburhat-Matlab-Pennai Road
chainage	14.17
width	4.3
constructionYear	1993
spans	1
zone	Comilla
circle	Comilla
division	Chandpur
sub-division	Chandpur
lat	23.34886111111111
lon	90.73325
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=103861&vRoadID=456&vSurveyYear=2004&vSubdivID=802
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=103861&vRoadID=456&vSurveyYear=2004&vSubdivID=802
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=103861&vRoadID=456&vSurveyYear=2004&vSubdivID=802
