road	N208
km	28.175
type	Box Culvert
lrpName	LRP028e
name	LALA PUR BOX CULVERT
length	3
condition	B
structureNr	100225
est cost	0.15
roadName	Moulvibazar-Rajnagar-Fenchuganj-Sylhet Road
chainage	28.175
width	12.2
constructionYear	1994
spans	1
zone	Sylhet
circle	Moulavi Bazar
division	Moulavi Bazar
sub-division	Moulavi Bazar
lat	24.638749999999998
lon	91.91541666666667
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=100225&vRoadID=16&vSurveyYear=2004&vSubdivID=554
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=100225&vRoadID=16&vSurveyYear=2004&vSubdivID=554
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=100225&vRoadID=16&vSurveyYear=2004&vSubdivID=554
