road	N208
km	15.613
type	Box Culvert
lrpName	LRP016b
name	PONNIGRAM BOX CULVERT
length	12.45
condition	B
structureNr	100165
est cost	0.2
roadName	Moulvibazar-Rajnagar-Fenchuganj-Sylhet Road
chainage	15.613
width	8.4
constructionYear	1995
spans	2
zone	Sylhet
circle	Moulavi Bazar
division	Moulavi Bazar
sub-division	Moulavi Bazar
lat	24.535777777777778
lon	91.86966666666666
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=100165&vRoadID=16&vSurveyYear=2004&vSubdivID=554
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=100165&vRoadID=16&vSurveyYear=2004&vSubdivID=554
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=100165&vRoadID=16&vSurveyYear=2004&vSubdivID=554
