road	N204
km	21.41
type	Truss with RCC Slab
lrpName	LRP025c
name	Chandpur Bridge
length	39.5
condition	B
structureNr	120986
est cost	0.47
roadName	Jagadishpur-Chunarughat-Shaistaganj (old part)
chainage	21.41
width	
constructionYear	
spans	
zone	Sylhet
circle	Moulavi Bazar
division	Habiganj
sub-division	Shaistagonj
lat	24.1859997 
lon	91.5135 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=120986&vRoadID=12&vSurveyYear=2013&vSubdivID=552
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=120986&vRoadID=12&vSurveyYear=2013&vSubdivID=552
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=120986&vRoadID=12&vSurveyYear=2013&vSubdivID=552
