road	N204
km	17.297
type	RCC Girder Bridge
lrpName	LRP020b
name	LABONGO GIRDER BRIDGE
length	39.8
condition	A
structureNr	104062
est cost	0
roadName	Jagadishpur-Chunarughat-Shaistaganj (old part)
chainage	17.297
width	9.78
constructionYear	1998
spans	3
zone	Sylhet
circle	Moulavi Bazar
division	Habiganj
sub-division	Shaistagonj
lat	24.142222222222223
lon	91.48297222222223
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=104062&vRoadID=12&vSurveyYear=2004&vSubdivID=552
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=104062&vRoadID=12&vSurveyYear=2004&vSubdivID=552
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=104062&vRoadID=12&vSurveyYear=2004&vSubdivID=552
