road	N204
km	0.546
type	RCC Girder Bridge
lrpName	LRPSb
name	JOGIDISH PUR TEMORIA
length	4
condition	C
structureNr	104038
est cost	3.54
roadName	Jagadishpur-Chunarughat-Shaistaganj (old part)
chainage	0.546
width	4.7
constructionYear	1964
spans	1
zone	Sylhet
circle	Moulavi Bazar
division	Habiganj
sub-division	Shaistagonj
lat	24.148305555555556
lon	91.35138888888888
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=104038&vRoadID=12&vSurveyYear=2004&vSubdivID=552
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=104038&vRoadID=12&vSurveyYear=2004&vSubdivID=552
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=104038&vRoadID=12&vSurveyYear=2004&vSubdivID=552
