road	R281
km	57.694
type	RCC Girder Bridge
lrpName	LRP059a
name	BOROI GRAM RCC GIRDER BRIDGE
length	17.6
condition	C
structureNr	121670
est cost	0.245
roadName	Rajnagar-Kulaura-Juri-Baralekha-Bianibazar-Sheola-Charkhai Road
chainage	57.694
width	
constructionYear	
spans	
zone	Sylhet
circle	Moulavi Bazar
division	Moulavi Bazar
sub-division	Moulavi Bazar
lat	24.7723604 
lon	92.1606389 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=121670&vRoadID=102&vSurveyYear=2013&vSubdivID=554
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=121670&vRoadID=102&vSurveyYear=2013&vSubdivID=554
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=121670&vRoadID=102&vSurveyYear=2013&vSubdivID=554
