road	R281
km	73.407
type	RCC Girder Bridge
lrpName	LRP074c
name	Bagni Bridge
length	16.25
condition	C
structureNr	120756
est cost	2.266
roadName	Rajnagar-Kulaura-Juri-Baralekha-Bianibazar-Sheola-Charkhai Road
chainage	73.407
width	
constructionYear	
spans	
zone	Sylhet
circle	Sylhet
division	Sylhet
sub-division	Golapganj
lat	24.8756938 
lon	92.1936386 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=120756&vRoadID=102&vSurveyYear=2013&vSubdivID=562
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=120756&vRoadID=102&vSurveyYear=2013&vSubdivID=562
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=120756&vRoadID=102&vSurveyYear=2013&vSubdivID=562
