road	Z1812
km	16.638
type	Baily with Steel Deck
lrpName	LRP018i
name	KONKONJIRI
length	18
condition	A
structureNr	103029
est cost	0
roadName	Chimbuk-Ruma Road
chainage	16.638
width	3.7
constructionYear	1986
spans	1
zone	Chittagong
circle	Rangamati
division	Bandarban
sub-division	Bandarban-1
lat	22.06077777777778
lon	92.3483611111111
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=103029&vRoadID=353&vSurveyYear=2004&vSubdivID=285
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=103029&vRoadID=353&vSurveyYear=2004&vSubdivID=285
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=103029&vRoadID=353&vSurveyYear=2004&vSubdivID=285
